relation_id,sentence_id,description,is_true,expectation,words,p1_start,p1_length,p2_start,p2_length,p2_length,features,weights
NYT_ENG_20071002.0247.LDC2009T13_9_9-NYT_ENG_20071002.0247.LDC2009T13_9_29,NYT_ENG_20071002.0247.LDC2009T13_9,Jim Ogonowski-Paul Tsongas,,0.982,"{For,weeks,"","",Republican,farmer,and,Air,Force,veteran,Jim,Ogonowski,has,pounded,a,steady,theme,against,Democrat,Niki,Tsongas,"","",calling,the,wife,of,the,late,former,senator,Paul,Tsongas,a,Washington,insider,who,represents,politics,as,usual,.}",9,2,29,2,2,"{word_between=wife,word_between=senator,num_words_between=18,""word_between=,"",word_between=theme,word_between=Democrat,word_between=Tsongas,word_between=Niki,word_between=has,word_between=former,word_between=the,word_between=calling,word_between=late,word_between=of,word_between=steady,word_between=pounded,word_between=against,word_between=a}","{4.1321,2.04463,-1.90702,-1.39174,-0.981359,0.744019,0.739239,-0.581149,0.493595,0.437364,0.356385,-0.31513,0.21605,0.209585,-0.164826,-0.0980204,-0.0935338,0.0548419}"
AFP_ENG_20071230.0147.LDC2009T13_53_15-AFP_ENG_20071230.0147.LDC2009T13_53_5,AFP_ENG_20071230.0147.LDC2009T13_53,Benazir Bhutto-Sharif,,0.992,"{Meanwhile,a,personal,spokesman,for,Sharif,said,the,decision,was,taken,after,slain,opposition,leader,Benazir,Bhutto,'s,husband,Asif,Ali,Zardari,had,asked,Sharif,'s,party,to,participate,.}",15,2,5,1,1,"{word_between=decision,word_between=taken,word_between=opposition,num_words_between=9,word_between=leader,word_between=slain,word_between=after,word_between=the,word_between=was,word_between=said}","{2.18742,1.75417,1.66425,-1.43111,0.710097,0.573948,-0.462908,0.356385,-0.252233,-0.149026}"
AFP_ENG_20080317.0296.LDC2009T13_6_26-AFP_ENG_20080317.0296.LDC2009T13_6_2,AFP_ENG_20080317.0296.LDC2009T13_6,Heather Mills-Paul McCartney,t,1,"{Former,Beatle,Paul,McCartney,agreed,a,divorce,settlement,worth,nearly,25,million,pounds,-LRB-,50,million,dollars,"","",33,million,euros,-RRB-,with,his,estranged,wife,Heather,Mills,on,Monday,"","",she,said,.}",26,2,2,2,2,"{word_between=wife,word_between=divorce,num_words_between=22,word_between=25,word_between=settlement,word_between=dollars,word_between=50,word_between=agreed,word_between=pounds,""word_between=,"",word_between=-RRB-,word_between=with,word_between=estranged,word_between=worth,word_between=33,word_between=-LRB-,word_between=nearly,word_between=euros,word_between=million,word_between=his,word_between=a}","{4.1321,2.46861,-2.14843,2.03414,1.89033,-1.77252,1.52566,1.49706,1.49047,-1.39174,-1.05935,1.03993,0.973392,0.787517,-0.751114,-0.686559,-0.452924,0.425042,0.315312,0.168154,0.0548419}"
127119@29_21-127119@29_10,127119@29,James T. Kirk-J.J. Abrams,,0.924,"{So,"","",apparently,"","",did,``,Star,Trek,'',director,J.J.,Abrams,"","",who,subsequently,tapped,Pine,to,play,the,young,James,T.,Kirk,in,the,upcoming,``,Star,Trek,'',movie,.}",21,3,10,2,2,"{word_between=tapped,word_between=subsequently,num_words_between=9,""word_between=,"",word_between=young,word_between=play,word_between=Pine,word_between=who,word_between=the,word_between=to}","{3.29742,2.42349,-1.43111,-1.39174,-1.37906,-1.00183,0.946811,0.520035,0.356385,-0.00130738}"
eng-WL-11-174588-12938541_14890_20-eng-WL-11-174588-12938541_14890_3,eng-WL-11-174588-12938541_14890,Scarlett Johansson-Jay Z,,0.908,"{On,December,2007,Jay,Z,and,Beioncé,denied,engagement,rumors,-LRB-,they,tie,the,knot,on,April,2008,-RRB-,...,Scarlett,Johansson,shopaholic,on,February,2008,"","",denied,Rumors,of,an,engagement,but,on,May,2008,she,has,announced,her,engagement,to,Ryan,Reynolds,...,The,same,Jennifer,Garner,and,Ben,Affleck,...,It,seems,to,be,the,Hollywood,style,:,to,disown,what,is,going,to,happen,!}",20,2,3,2,2,"{word_between=knot,num_words_between=15,word_between=denied,word_between=-RRB-,word_between=engagement,word_between=April,word_between=they,word_between=2008,word_between=-LRB-,word_between=and,word_between=tie,word_between=...,word_between=rumors,word_between=the,word_between=on,word_between=Beioncé}","{2.84672,-2.39452,2.22833,-1.05935,1.05788,-0.885031,-0.829097,0.713396,-0.686559,0.625537,0.57788,-0.407407,-0.374636,0.356385,0.308755,0}"
LTW_ENG_20080119.0041.LDC2009T13_92_4-LTW_ENG_20080119.0041.LDC2009T13_92_23,LTW_ENG_20080119.0041.LDC2009T13_92,Jason Isbell-Spooner Oldham,,0.958,"{Rock,-,leaning,guitarist,Jason,Isbell,has,gone,solo,"","",founding,guitarist,and,pedal,steel,player,John,Neff,is,back,"","",soul,eminence,Spooner,Oldham,plays,piano,and,organ,on,the,new,album,-LRB-,in,stores,Tuesday,-RRB-,"","",and,bassist,Shonna,Tucker,contributes,her,first,songs,.}",4,2,23,2,2,"{word_between=soul,word_between=solo,word_between=steel,num_words_between=17,""word_between=,"",word_between=founding,word_between=and,word_between=guitarist,word_between=has,word_between=player,word_between=back,word_between=John,word_between=is,word_between=eminence,word_between=Neff,word_between=pedal,word_between=gone}","{2.03569,1.93004,1.71329,-1.64257,-1.39174,-1.07163,0.625537,-0.619198,0.493595,0.463224,-0.348441,-0.306792,0.290995,0.266216,0.266216,0.266216,0.0152882}"
XIN_ENG_20080508.0176.LDC2009T13_105_20-XIN_ENG_20080508.0176.LDC2009T13_105_1,XIN_ENG_20080508.0176.LDC2009T13_105,Jenna-George W. Bush,,0.914,"{President,George,W.,Bush,is,on,route,to,his,ranch,Thursday,from,Washington,to,join,first,lady,Laura,Bush,and,Jenna,"","",who,have,been,there,for,several,days,.}",20,1,1,3,3,"{word_between=Laura,word_between=ranch,word_between=lady,num_words_between=16,word_between=Washington,word_between=join,word_between=and,word_between=from,word_between=Thursday,word_between=on,word_between=is,word_between=first,word_between=his,word_between=Bush,word_between=route,word_between=to}","{-3.91398,2.80215,2.10734,-2.04037,1.5382,-0.875219,0.625537,0.507163,0.501991,0.308755,0.290995,0.253295,0.168154,0.1577,-0.114474,-0.00130738}"
eng-WL-11-174597-12965566_4_12-eng-WL-11-174597-12965566_4_23,eng-WL-11-174597-12965566_4,Heidi Montag-Spencer Pratt,t,0.994,"{I,'m,totally,ROLLING,MY,EYES,over,here,after,reading,this,...,Heidi,Montag,from,the,reality,TV,show,The,Hills,and,boyfriend,Spencer,Pratt,have,announced,that,they,are,engaged,.}",12,2,23,2,2,"{word_between=boyfriend,word_between=reality,num_words_between=9,word_between=TV,word_between=and,word_between=Hills,word_between=from,word_between=the,word_between=The,word_between=show}","{2.83561,1.65997,-1.43111,0.679458,0.625537,0.547614,0.507163,0.356385,-0.232859,-0.186094}"
CNA_ENG_20070626.0051.LDC2009T13_263_2-CNA_ENG_20070626.0051.LDC2009T13_263_26,CNA_ENG_20070626.0051.LDC2009T13_263,Chao Chien-ming-Wu Shu-jen,,0.994,"{Predicting,that,Chao,Chien-ming,may,still,face,a,severe,penalty,even,if,he,appeals,his,case,to,the,supreme,court,"","",Liu,said,that,first,lady,Wu,Shu-jen,and,first,daughter,Chen,Hsing-yu,should,ask,him,to,drop,his,appeal,"","",acknowledge,his,wrongdoing,and,begin,serving,the,jail,term,as,soon,as,possible,``,for,the,sake,of,the,national,interest,.,''}",2,2,26,2,2,"{num_words_between=22,word_between=lady,""word_between=,"",word_between=still,word_between=court,word_between=face,word_between=severe,word_between=may,word_between=case,word_between=if,word_between=even,word_between=appeals,word_between=supreme,word_between=the,word_between=he,word_between=penalty,word_between=first,word_between=his,word_between=said,word_between=that,word_between=a,word_between=Liu,word_between=to}","{-2.14843,2.10734,-1.39174,1.12106,1.05356,-0.839029,0.817168,0.770976,0.721911,0.692595,0.530174,0.485984,0.375319,0.356385,0.326569,0.299711,0.253295,0.168154,-0.149026,0.103416,0.0548419,0.0134356,-0.00130738}"
LTW_ENG_20071026.0017.LDC2009T13_294_26-LTW_ENG_20071026.0017.LDC2009T13_294_20,LTW_ENG_20071026.0017.LDC2009T13_294,Puchi-Hector Lavoe,,0.902,"{--,``,El,Cantante,'',-LRB-,R,-RRB-,Marc,Anthony,and,Jennifer,Lopez,star,in,this,story,of,salsa,singer,Hector,Lavoe,and,his,wife,"","",Puchi,.}",26,1,20,2,2,"{word_between=wife,""word_between=,"",num_words_between=4,word_between=and,word_between=his}","{4.1321,-1.39174,-1.37483,0.625537,0.168154}"
eng-WL-11-174595-12968890_10_0-eng-WL-11-174595-12968890_10_40,eng-WL-11-174595-12968890_10,Dina Lohan-Ali,f,0.938,"{Dina,Lohan,"","",mother,of,4,-LSB-,including,wild,child,Lindsay,Lohan,-RSB-,and,aspiring,reality,TV,star,"","",was,spied,doing,...,something,...,at,a,youth,center,in,Harlem,"","",NY,this,week,where,she,took,her,daugther,Ali,and,her,mother,to,exploit,feature,kids,in,her,new,reality,TV,show,which,is,currently,in,production,for,E,!}",0,2,40,1,1,"{word_between=4,word_between=Lindsay,word_between=Lohan,word_between=Harlem,word_between=reality,word_between=where,""word_between=,"",word_between=she,word_between=aspiring,word_between=including,word_between=center,num_words_between=38,word_between=TV,word_between=doing,word_between=and,word_between=spied,word_between=her,word_between=this,word_between=...,word_between=NY,word_between=week,word_between=took,word_between=was,word_between=mother,word_between=of,word_between=-RSB-,word_between=at,word_between=in,word_between=star,word_between=-LSB-,word_between=child,word_between=wild,word_between=youth,word_between=something,word_between=a,word_between=daugther}","{-3.00556,2.58142,-2.51808,2.17976,1.65997,-1.40573,-1.39174,1.3036,1.02244,-0.810932,0.758085,-0.682788,0.679458,0.663489,0.625537,0.55917,0.550978,0.472985,-0.407407,-0.359718,0.336645,0.317428,-0.252233,-0.215437,0.209585,-0.195076,-0.191547,0.180563,0.179135,0.154272,0.101437,-0.0980205,-0.0690887,-0.0664523,0.0548419,0}"
AFP_ENG_20080322.0190.LDC2009T13_112_43-AFP_ENG_20080322.0190.LDC2009T13_112_40,AFP_ENG_20080322.0190.LDC2009T13_112,Asif Ali Zardari-Bhutto,,0.992,"{``,I,have,great,pleasure,in,calling,upon,Yousuf,Raza,Gilani,in,the,name,of,Shaheed,-LRB-,martyr,-RRB-,Benazir,Bhutto,to,accept,the,heavy,responsibility,to,lead,the,coalition,government,and,the,nation,"","",'',said,a,statement,by,Bhutto,'s,widower,Asif,Ali,Zardari,that,was,read,out,to,reporters,by,a,party,spokesman,.}",43,3,40,1,1,"{word_between=widower,num_words_between=2,word_between='s}","{5.75871,-0.845881,-0.0329627}"
eng-WL-11-174643-13000303_300_26-eng-WL-11-174643-13000303_300_19,eng-WL-11-174643-13000303_300,David Arquette-Courteney Cox,t,0.938,"{In,early,January,2005,"","",the,couple,was,seen,vacationing,in,the,Caribbean,with,her,``,Friends,'',co-star,Courteney,Cox,and,her,husband,"","",actor,David,Arquette,"","",and,photos,on,the,beach,showed,them,kissing,and,affectionate,.}",26,2,19,2,2,"{word_between=husband,num_words_between=5,""word_between=,"",word_between=and,word_between=her,word_between=actor}","{3.89145,-1.44884,-1.39174,0.625537,0.550978,0.128227}"
eng-NG-31-145805-10295525_140_33-eng-NG-31-145805-10295525_140_22,eng-NG-31-145805-10295525_140,Casey Aldridge-Britney,,0.974,"{""\\*"",Jamie,Lynn,Spears,signs,$,1,million,deal,for,baby,pictures,:,report,""\\*"",The,16-year-old,"","",younger,sister,of,singer,Britney,"","",who,is,expecting,her,first,child,with,her,boyfriend,Casey,Aldridge,"","",has,agreed,to,pose,with,the,baby,in,a,photo,shoot,for,America,'s,OK,!}",33,2,22,1,1,"{word_between=boyfriend,num_words_between=10,word_between=expecting,""word_between=,"",word_between=with,word_between=her,word_between=who,word_between=is,word_between=first,word_between=child}","{2.83561,-2.303,1.61434,-1.39174,1.03993,0.550978,0.520035,0.290995,0.253295,0.101437}"
68991@11_41-68991@11_6,68991@11,Neiman Marcus-Sixx,,0.986,"{Like,other,celebs,before,him,"","",Sixx,has,turned,to,fashion,"","",with,a,line,of,rock,'n',roll-inspired,T-shirts,"","",slim,Japanese,denim,jeans,"","",cashmere,hoodies,and,jewelry,in,his,Royal,Underground,collection,"","",which,is,sold,at,select,Neiman,Marcus,"","",Nordstrom,and,Bloomingdale,'s,stores,.}",41,2,6,1,1,"{word_between=turned,word_between=sold,num_words_between=34,word_between=Royal,""word_between=,"",word_between=line,word_between=with,word_between=collection,word_between=rock,word_between=and,word_between=jewelry,word_between=has,word_between=select,word_between='n',word_between=which,word_between=is,word_between=of,word_between=at,word_between=in,word_between=his,word_between=Japanese,word_between=fashion,word_between=a,word_between=to,word_between=hoodies,word_between=Underground,word_between=roll-inspired,word_between=T-shirts,word_between=slim,word_between=cashmere,word_between=denim,word_between=jeans}","{2.50978,-2.07653,-1.7647,1.66542,-1.39174,1.15884,1.03993,0.911262,0.729966,0.625537,-0.504261,0.493595,-0.449258,-0.367648,0.32832,0.290995,0.209585,-0.191547,0.180563,0.168154,0.155438,0.119412,0.0548419,-0.00130738,0,0,0,0,0,0,0,0}"
APW_ENG_20080808.1189.LDC2009T13_207_7-APW_ENG_20080808.1189.LDC2009T13_207_0,APW_ENG_20080808.1189.LDC2009T13_207,Camila Alves-McConaughey,,0.982,"{McConaughey,also,says,he,and,his,girlfriend,Camila,Alves,have,enjoyed,integrating,their,new,baby,"","",Levi,Alves,McConaughey,"","",into,their,lives,.}",7,2,0,1,1,"{word_between=girlfriend,num_words_between=6,word_between=says,word_between=and,word_between=he,word_between=also,word_between=his}","{3.35926,-1.40007,0.753139,0.625537,0.326569,-0.28193,0.168154}"
LTW_ENG_20080825.0033.LDC2009T13_450_23-LTW_ENG_20080825.0033.LDC2009T13_450_17,LTW_ENG_20080825.0033.LDC2009T13_450,Robert F. Kennedy-Ethel Kennedy,t,0.922,"{Obama,has,won,the,support,of,other,members,of,the,Kennedy,family,"","",including,Maria,Shriver,and,Ethel,Kennedy,"","",widow,of,Sen.,Robert,F.,Kennedy,.}",23,3,17,2,2,"{word_between=widow,""word_between=,"",num_words_between=4,word_between=Sen.,potential_last_name_match,word_between=of}","{4.62161,-1.39174,-1.37483,0.711622,-0.415994,0.209585}"
NYT_ENG_20071002.0247.LDC2009T13_9_29-NYT_ENG_20071002.0247.LDC2009T13_9_9,NYT_ENG_20071002.0247.LDC2009T13_9,Paul Tsongas-Jim Ogonowski,,0.976,"{For,weeks,"","",Republican,farmer,and,Air,Force,veteran,Jim,Ogonowski,has,pounded,a,steady,theme,against,Democrat,Niki,Tsongas,"","",calling,the,wife,of,the,late,former,senator,Paul,Tsongas,a,Washington,insider,who,represents,politics,as,usual,.}",29,2,9,2,2,"{word_between=wife,word_between=senator,num_words_between=18,""word_between=,"",word_between=theme,word_between=Democrat,word_between=Tsongas,word_between=Niki,word_between=has,word_between=former,word_between=the,word_between=calling,word_between=late,word_between=of,word_between=steady,word_between=pounded,word_between=against,word_between=a}","{4.1321,2.04463,-1.90702,-1.39174,-0.981359,0.744019,0.739239,-0.581149,0.493595,0.437364,0.356385,-0.31513,0.21605,0.209585,-0.164826,-0.0980204,-0.0935338,0.0548419}"
90851@35_41-90851@35_21,90851@35,Roth-Bloom,,0.988,"{Roth,'s,troubled,first,wife,"","",Maggie,"","",makes,brief,"","",tragic,appearances,in,Fussell,'s,memoir,"","",and,after,reading,Bloom,'s,account,of,life,with,Philip,"","",you,wish,she,had,taken,Gore,Vidal,'s,advice,and,not,married,Roth,in,the,first,place,.}",41,1,21,1,1,"{word_between=married,word_between=taken,word_between=Philip,word_between=advice,num_words_between=19,word_between=life,word_between=wish,""word_between=,"",word_between=she,word_between=Gore,word_between=with,word_between=account,word_between=and,word_between=you,word_between=Vidal,word_between=not,word_between=of,word_between=had,word_between='s}","{3.39603,1.75417,1.72111,-1.56974,-1.56238,1.54685,-1.45877,-1.39174,1.3036,-1.12123,1.03993,-0.676153,0.625537,0.585984,-0.458705,0.4019,0.209585,-0.0889965,-0.0329627}"
APW_ENG_20070907.1653.LDC2009T13_449_13-APW_ENG_20070907.1653.LDC2009T13_449_17,APW_ENG_20070907.1653.LDC2009T13_449,Britney Spears-Kevin Federline,t,0.952,"{Michael,Sands,"","",a,publicist,whose,clients,have,included,the,divorce,attorney,for,Britney,Spears,',ex-husband,Kevin,Federline,"","",said,Hudgens,should,be,commended,for,coming,forward,quickly,and,saying,it,was,her,pictures,.}",13,2,17,2,2,"{word_between=ex-husband,num_words_between=2,word_between='}","{3.39629,-0.845881,0.442984}"
LTW_ENG_20070331.0064.LDC2009T13_72_5-LTW_ENG_20070331.0064.LDC2009T13_72_45,LTW_ENG_20070331.0064.LDC2009T13_72,Joan Didion-John Gregory Dunne,t,1,"{And,the,words,are,by,Joan,Didion,"","",who,has,adapted,her,memoir,of,the,same,title,"","",recording,her,actions,and,reactions,after,the,life-threatening,illness,in,2003,of,her,only,child,"","",Quintana,"","",and,the,sudden,death,of,her,husband,"","",novelist,John,Gregory,Dunne,.}",5,2,45,3,3,"{word_between=husband,word_between=sudden,""word_between=,"",word_between=title,word_between=death,word_between=recording,word_between=memoir,word_between=adapted,num_words_between=38,word_between=and,word_between=her,word_between=2003,word_between=who,word_between=has,word_between=after,word_between=the,word_between=of,word_between=in,word_between=novelist,word_between=child,word_between=same,word_between=only,word_between=illness,word_between=reactions,word_between=Quintana,word_between=life-threatening,word_between=actions}","{3.89145,1.43054,-1.39174,1.10866,1.06691,0.8845,-0.762494,-0.703436,-0.682788,0.625537,0.550978,-0.531046,0.520035,0.493595,-0.462908,0.356385,0.209585,0.180563,-0.147156,0.101437,0.0607497,-0.0448559,0.0153409,0,0,0,0}"
NYT_ENG_20071107.0186.LDC2009T13_112_20-NYT_ENG_20071107.0186.LDC2009T13_112_16,NYT_ENG_20071107.0186.LDC2009T13_112,Andre Agassi-Steffi Graf,t,0.96,"{Other,notables,in,the,ad,campaign,designed,by,the,Ogilvy,&,amp,;,Mather,agency,include,Steffi,Graf,and,husband,Andre,Agassi,lounging,on,a,hotel,bed,"","",and,Catherine,Deneuve,posed,in,a,foggy,Paris,train,station,"","",sitting,atop,a,Vuitton,suitcase,.}",20,2,16,2,2,"{word_between=husband,num_words_between=2,word_between=and}","{3.89145,-0.845881,0.625537}"
AFP_ENG_20081015.0248.LDC2009T13_106_0-AFP_ENG_20081015.0248.LDC2009T13_106_14,AFP_ENG_20081015.0248.LDC2009T13_106,Madonna-Carlos Leon,t,0.98,"{Madonna,also,has,a,daughter,Lourdes,"","",12,"","",with,her,former,fitness,trainer,Carlos,Leon,.}",0,1,14,2,2,"{word_between=Lourdes,word_between=daughter,word_between=trainer,num_words_between=13,""word_between=,"",word_between=fitness,word_between=with,word_between=her,word_between=has,word_between=former,word_between=also,word_between=12,word_between=a}","{3.92556,-2.27761,2.23233,-1.94902,-1.39174,1.14962,1.03993,0.550978,0.493595,0.437364,-0.28193,-0.0634106,0.0548419}"
NYT_ENG_20080530.0012.LDC2009T13_401_30-NYT_ENG_20080530.0012.LDC2009T13_401_22,NYT_ENG_20080530.0012.LDC2009T13_401,Galina Vishnevskaya-Mstislav Rostropovich,t,0.956,"{Usmanov,has,made,lavish,philanthropic,gestures,in,the,last,year,"","",buying,the,art,and,antique,collection,of,the,cellist,and,conductor,Mstislav,Rostropovich,and,his,widow,"","",the,soprano,Galina,Vishnevskaya,"","",and,donating,it,to,the,state,.}",30,2,22,2,2,"{word_between=widow,num_words_between=6,""word_between=,"",word_between=and,word_between=soprano,word_between=the,word_between=his}","{4.62161,-1.40007,-1.39174,0.625537,0.542669,0.356385,0.168154}"
79623@59_22-79623@59_30,79623@59,Edie Wasserman-Jennifer Aniston,,0.916,"{Yes,"","",Jon,Dolgen,"","",formerly,of,Paramount,"","",was,there,"","",and,many,agents,from,Creative,Artists,and,Endeavor,"","",and,Edie,Wasserman,"","",Lew,'s,widow,"","",and,Jennifer,Aniston,and,Brad,Pitt,when,they,were,still,together,.}",22,2,30,2,2,"{word_between=widow,num_words_between=6,""word_between=,"",word_between=and,word_between='s,word_between=Lew}","{4.62161,-1.40007,-1.39174,0.625537,-0.0329627,0}"
AFP_ENG_20080917.0174.LDC2009T13_11_0-AFP_ENG_20080917.0174.LDC2009T13_11_4,AFP_ENG_20080917.0174.LDC2009T13_11,John Lennon-Yoko Ono,t,0.968,"{John,Lennon,'s,wife,Yoko,Ono,said,Wednesday,the,world,'s,small,countries,should,be,given,a,chance,"","",as,she,launched,a,retrospective,exhibition,of,her,art,work,in,the,Polish,capital,.}",0,2,4,2,2,"{word_between=wife,num_words_between=2,word_between='s}","{4.1321,-0.845881,-0.0329627}"
LTW_ENG_20080221.0110.LDC2009T13_178_1-LTW_ENG_20080221.0110.LDC2009T13_178_23,LTW_ENG_20080221.0110.LDC2009T13_178,Clinton-Michelle Obama,,0.996,"{While,Clinton,'s,husband,"","",the,former,president,"","",has,been,in,hot,water,regularly,for,his,verbal,jabs,at,Barack,Obama,"","",Michelle,Obama,"","",whose,tongue,can,be,as,barbed,as,Bill,Clinton,'s,"","",has,received,less,scrutiny,.}",1,1,23,2,2,"{word_between=husband,word_between=Barack,word_between=regularly,num_words_between=21,""word_between=,"",word_between=verbal,word_between=jabs,word_between=water,word_between=Obama,word_between=hot,word_between=has,word_between=former,word_between=been,word_between=the,word_between=at,word_between=in,word_between=his,word_between=president,word_between=for,word_between='s}","{3.89145,3.73417,3.0268,-2.42479,-1.39174,-1.16619,-1.16619,-0.92825,-0.755963,0.683393,0.493595,0.437364,0.414456,0.356385,-0.191547,0.180563,0.168154,-0.094942,-0.0635128,-0.0329627}"
eng-WL-11-174595-12968368_584_9-eng-WL-11-174595-12968368_584_0,eng-WL-11-174595-12968368_584,Jennifer Meyer-Tobey Maguire,t,1,"{Tobey,Maguire,finally,got,around,to,marrying,his,babymama,Jennifer,Meyer,while,the,couple,-LRB-,along,with,their,daughter,Ruby,-RRB-,vacationed,in,Hawaii,this,week,:}",9,2,0,2,2,"{word_between=marrying,word_between=babymama,num_words_between=7,word_between=finally,word_between=around,word_between=got,word_between=his,word_between=to}","{3.43526,3.33455,-1.74305,1.22274,0.619079,0.17965,0.168154,-0.00130738}"
141290@24_4-141290@24_16,141290@24,Ryan-Quaid,,0.984,"{"","",'',says,if,Ryan,had,been,determined,to,set,the,record,straight,in,regard,to,Quaid,"","",he,would,have,advised,doing,so,in,an,article,or,interview,unrelated,to,a,film,.}",4,1,16,1,1,"{word_between=record,word_between=regard,num_words_between=11,word_between=straight,word_between=set,word_between=been,word_between=the,word_between=in,word_between=determined,word_between=had,word_between=to}","{1.89886,1.59374,-1.13974,0.665779,0.431801,0.414456,0.356385,0.180563,-0.167554,-0.0889965,-0.00130738}"
APW_ENG_20081111.1242.LDC2009T13_14_3-APW_ENG_20081111.1242.LDC2009T13_14_27,APW_ENG_20081111.1242.LDC2009T13_14,Angelina Jolie-Smith,,1,"{Jennifer,Aniston,says,Angelina,Jolie,was,out,of,line,when,she,spilled,details,about,her,relationship,with,Brad,Pitt,while,they,were,filming,``,Mr.,&,Mrs.,Smith,.,''}",3,2,27,1,1,"{word_between=spilled,num_words_between=22,word_between=were,word_between=Mrs.,word_between=details,word_between=she,word_between=line,word_between=filming,word_between=with,word_between=Mr.,word_between=they,word_between=&,word_between=relationship,word_between=Pitt,word_between=when,word_between=her,word_between=Brad,word_between=``,word_between=was,word_between=about,word_between=of,word_between=out,word_between=while}","{3.32149,-2.14843,-1.88947,1.82086,1.36248,1.3036,1.15884,1.04329,1.03993,0.889884,-0.829097,0.736425,0.73618,-0.696004,-0.597374,0.550978,-0.343353,-0.300107,-0.252233,0.21003,0.209585,0.208824,-0.00767897}"
APW_ENG_20081015.0972.LDC2009T13_104_9-APW_ENG_20081015.0972.LDC2009T13_104_0,APW_ENG_20081015.0972.LDC2009T13_104,Ronald Reagan-Nancy Reagan,t,0.992,"{Nancy,Reagan,is,the,widow,of,the,late,President,Ronald,Reagan,.}",9,2,0,2,2,"{word_between=widow,num_words_between=7,word_between=President,potential_last_name_match,word_between=the,word_between=is,word_between=late,word_between=of}","{4.62161,-1.74305,0.810313,-0.415994,0.356385,0.290995,0.21605,0.209585}"
APW_ENG_20070117.1335.LDC2009T13_741_9-APW_ENG_20070117.1335.LDC2009T13_741_28,APW_ENG_20070117.1335.LDC2009T13_741,Zoe Cassavetes-Gena Rowlands,f,0.95,"{The,dramatic,competition,also,features,such,high-profile,titles,as,Zoe,Cassavetes,',romantic,comedy,``,Broken,English,"","",'',with,Parker,Posey,and,the,filmmaker,'s,mother,"","",Gena,Rowlands,"","",wife,of,the,late,independent-film,master,John,Cassavetes,;,David,Gordon,Green,'s,domestic,drama,``,Snow,Angels,"","",'',starring,Kate,Beckinsale,and,Sam,Rockwell,;,and,James,C.,Strouse,'s,``,Grace,Is,Gone,"","",'',featuring,John,Cusack,as,a,husband,and,father,whose,wife,is,killed,in,military,action,in,Iraq,.}",9,2,28,2,2,"{word_between=filmmaker,word_between=romantic,num_words_between=17,""word_between=,"",word_between=Posey,word_between=with,word_between=and,word_between=comedy,word_between=',word_between=English,word_between=the,word_between=Parker,word_between=``,word_between=mother,word_between='',word_between='s,word_between=Broken}","{2.08792,1.68996,-1.64257,-1.39174,1.29736,1.03993,0.625537,-0.444538,0.442984,-0.420033,0.356385,-0.304711,-0.300107,-0.215437,0.0444401,-0.0329627,-0.00427452}"
LTW_ENG_20080319.0154.LDC2009T13_1_1-LTW_ENG_20080319.0154.LDC2009T13_1_11,LTW_ENG_20080319.0154.LDC2009T13_1,Heather Mills-Paul McCartney,t,0.926,"{When,Heather,Mills,won,a,$,48.6,million,divorce,settlement,from,Paul,McCartney,on,Monday,"","",she,asked,the,judge,not,to,publicly,release,his,full,58-page,ruling,.}",1,2,11,2,2,"{word_between=divorce,word_between=settlement,num_words_between=8,word_between=won,word_between=$,word_between=from,word_between=48.6,word_between=million,word_between=a}","{2.46861,1.89033,-1.41285,-0.84833,-0.788496,0.507163,0.439598,0.315312,0.0548419}"
APW_ENG_20080314.0101.LDC2009T13_426_26-APW_ENG_20080314.0101.LDC2009T13_426_17,APW_ENG_20080314.0101.LDC2009T13_426,Will Arnett-Jaime Pressly,f,0.992,"{While,Carrey,and,Carell,do,a,lot,of,jabbering,"","",the,voice,cast,--,which,also,includes,Jaime,Pressly,"","",Jonah,Hill,and,husband,and,wife,Will,Arnett,and,Amy,Poehler,--,sounds,fairly,plain,and,anonymous,.}",26,2,17,2,2,"{word_between=wife,word_between=husband,num_words_between=7,""word_between=,"",word_between=Hill,word_between=and,word_between=Jonah}","{4.1321,3.89145,-1.74305,-1.39174,-1.01461,0.625537,0.394201}"
eng-WL-110-174612-12993184_46_14-eng-WL-110-174612-12993184_46_35,eng-WL-110-174612-12993184_46,Carey-Janet Jackson,,0.976,"{The,track,was,produced,by,hitmaker,Jermaine,Dupri,"","",who,'s,also,working,with,Carey,on,her,next,album,due,later,this,year,and,will,boast,additional,productions,from,music-masterminds,Scott,Storch,-LRB-,Beyonce,"","",Janet,Jackson,-RRB-,and,Swizz,Beatz,-LRB-,Jennifer,Lopez,"","",Gwen,Stefani,-RRB-,.}",14,1,35,2,2,"{word_between=Storch,word_between=Scott,num_words_between=20,word_between=next,""word_between=,"",word_between=music-masterminds,word_between=-LRB-,word_between=year,word_between=and,word_between=her,word_between=productions,word_between=boast,word_between=from,word_between=additional,word_between=this,word_between=due,word_between=later,word_between=on,word_between=album,word_between=Beyonce,word_between=will}","{2.20626,-1.82949,-1.77376,1.64879,-1.39174,1.04894,-0.686559,0.680459,0.625537,0.550978,0.532643,0.526182,0.507163,0.478155,0.472985,-0.469372,-0.409916,0.308755,0.243078,0.20945,-0.154577}"
